1870,-1,-1.2,-0.83,-0.81,-1.27,-1.08,-1.04,-0.88,-0.53,-0.92,-0.79,-0.79,
,1871,-0.25,-0.58,-0.43,-0.5,-0.7,-0.53,-0.6,-0.33,-0.24,-0.33,-0.31,-0.58
,1872,-0.72,-0.62,-0.5,-0.77,-0.62,-0.52,-0.32,-0.85,-1.02,-0.94,-0.79,-0.88
,1873,-0.78,-1.01,-1.31,-0.67,-0.53,-0.48,-0.58,-0.39,-0.34,-0.78,-0.77,-0.7
,1874,-0.93,-1.06,-1.4,-0.94,-0.86,-0.72,-1,-1.05,-1.13,-1.25,-1.33,-1.14
,1875,-0.71,-0.37,-0.59,-0.87,-1.09,-0.76,-0.85,-0.81,-0.91,-0.83,-0.64,-0.75
,1876,-0.95,-1.2,-1.13,-1.18,-1.08,-0.43,-0.34,-0.16,-0.02,0.11,0.15,0.23
,1877,0.35,0.46,0.52,0.5,0.76,0.98,1.42,1.54,1.75,1.95,2.08,2.49
,1878,2.41,2.43,1.31,0.92,0.82,0.92,0.25,-0.11,-0.32,-0.53,-0.7,-0.75
,1879,-0.55,-0.18,-0.24,-0.37,-0.83,-0.67,-0.77,-0.69,-0.83,-0.93,-1.14,-1.02
,1880,-1,-0.73,-0.62,-0.57,-0.71,-0.61,-0.53,-0.24,-0.03,0.17,0.24,0.18
,1881,0.29,0.23,0.32,0.41,0.16,0.23,-0.26,-0.17,-0.33,-0.43,-0.59,-0.37
,1882,-0.45,-0.55,-0.53,0.1,0.01,-0.4,-0.57,-0.33,-0.51,-0.65,-0.92,-0.75
,1883,-0.46,-0.49,-0.4,-0.23,-0.38,-0.21,-0.01,-0.03,-0.17,-0.42,-0.22,-0.14
,1884,-0.11,-0.01,0,0.26,0.4,-0.13,0.28,0.2,0.18,0.29,0.3,0.35
,1885,0.12,0.27,0.12,-0.02,0.44,0.17,0.08,0.34,0.52,0.72,0.81,1.02
,1886,0.17,-0.1,-0.11,-0.37,-0.85,-0.9,-0.97,-1.03,-1.21,-1.14,-1.34,-1.44
